,image_id,cancer
130,ISIC_0000143,1.0
1240,ISIC_0012715,1.0
1690,ISIC_0014076,1.0
245,ISIC_0000290,1.0
936,ISIC_0011099,1.0
1969,ISIC_0014987,1.0
1487,ISIC_0013427,1.0
796,ISIC_0010265,1.0
1751,ISIC_0014308,1.0
655,ISIC_0009960,1.0
1545,ISIC_0013610,1.0
979,ISIC_0011176,1.0
463,ISIC_0001118,1.0
852,ISIC_0010468,1.0
1252,ISIC_0012749,1.0
260,ISIC_0000311,1.0
1992,ISIC_0015200,1.0
434,ISIC_0000533,1.0
1614,ISIC_0013815,1.0
1633,ISIC_0013865,1.0
338,ISIC_0000410,1.0
129,ISIC_0000142,1.0
850,ISIC_0010466,1.0
696,ISIC_0010024,1.0
958,ISIC_0011140,1.0
253,ISIC_0000300,1.0
1739,ISIC_0014249,1.0
601,ISIC_0009882,1.0
1949,ISIC_0014897,1.0
1682,ISIC_0014049,1.0
28,ISIC_0000029,1.0
1684,ISIC_0014062,1.0
665,ISIC_0009971,1.0
1687,ISIC_0014072,1.0
933,ISIC_0011095,1.0
965,ISIC_0011158,1.0
797,ISIC_0010267,1.0
240,ISIC_0000282,1.0
765,ISIC_0010207,1.0
21,ISIC_0000022,1.0
1630,ISIC_0013861,1.0
1728,ISIC_0014189,1.0
4,ISIC_0000004,1.0
452,ISIC_0000552,1.0
952,ISIC_0011130,1.0
137,ISIC_0000151,1.0
1970,ISIC_0015005,1.0
1326,ISIC_0012988,1.0
702,ISIC_0010036,1.0
1725,ISIC_0014183,1.0
699,ISIC_0010029,1.0
1792,ISIC_0014486,1.0
1886,ISIC_0014722,1.0
902,ISIC_0010597,1.0
1736,ISIC_0014229,1.0
154,ISIC_0000171,1.0
1774,ISIC_0014395,1.0
41,ISIC_0000043,1.0
1385,ISIC_0013141,1.0
150,ISIC_0000165,1.0
1528,ISIC_0013572,1.0
1702,ISIC_0014108,1.0
1161,ISIC_0012450,1.0
1306,ISIC_0012930,1.0
1707,ISIC_0014132,1.0
680,ISIC_0010000,1.0
44,ISIC_0000046,1.0
734,ISIC_0010089,1.0
25,ISIC_0000026,1.0
1798,ISIC_0014507,1.0
1629,ISIC_0013845,1.0
1701,ISIC_0014099,1.0
1295,ISIC_0012887,1.0
1976,ISIC_0015079,1.0
339,ISIC_0000412,1.0
1766,ISIC_0014360,1.0
1584,ISIC_0013740,1.0
414,ISIC_0000511,1.0
830,ISIC_0010372,1.0
781,ISIC_0010240,1.0
47,ISIC_0000049,1.0
447,ISIC_0000547,1.0
822,ISIC_0010360,1.0
1975,ISIC_0015045,1.0
471,ISIC_0001142,1.0
132,ISIC_0000146,1.0
1151,ISIC_0012391,1.0
38,ISIC_0000040,1.0
1511,ISIC_0013497,1.0
259,ISIC_0000310,1.0
1661,ISIC_0013975,1.0
1765,ISIC_0014357,1.0
237,ISIC_0000277,1.0
782,ISIC_0010241,1.0
652,ISIC_0009955,1.0
1526,ISIC_0013567,1.0
1506,ISIC_0013490,1.0
897,ISIC_0010591,1.0
1994,ISIC_0015219,1.0
247,ISIC_0000293,1.0
1041,ISIC_0011367,0.0
1788,ISIC_0014473,0.0
441,ISIC_0000541,0.0
1270,ISIC_0012811,0.0
785,ISIC_0010247,0.0
1230,ISIC_0012699,0.0
16,ISIC_0000017,0.0
1608,ISIC_0013803,0.0
767,ISIC_0010213,0.0
1202,ISIC_0012659,0.0
1118,ISIC_0012294,0.0
1111,ISIC_0012278,0.0
1692,ISIC_0014080,0.0
53,ISIC_0000055,0.0
1452,ISIC_0013329,0.0
688,ISIC_0010015,0.0
1424,ISIC_0013227,0.0
1563,ISIC_0013676,0.0
1844,ISIC_0014613,0.0
1586,ISIC_0013747,0.0
1101,ISIC_0012250,0.0
368,ISIC_0000458,0.0
653,ISIC_0009956,0.0
1902,ISIC_0014770,0.0
694,ISIC_0010021,0.0
1592,ISIC_0013772,0.0
1016,ISIC_0011321,0.0
337,ISIC_0000409,0.0
1510,ISIC_0013495,0.0
0,ISIC_0000000,0.0
1289,ISIC_0012877,0.0
843,ISIC_0010455,0.0
1226,ISIC_0012692,0.0
1109,ISIC_0012271,0.0
94,ISIC_0000103,0.0
311,ISIC_0000371,0.0
1440,ISIC_0013288,0.0
1244,ISIC_0012726,0.0
789,ISIC_0010254,0.0
1501,ISIC_0013480,0.0
89,ISIC_0000098,0.0
1345,ISIC_0013037,0.0
498,ISIC_0002871,0.0
496,ISIC_0002829,0.0
619,ISIC_0009911,0.0
876,ISIC_0010558,0.0
1200,ISIC_0012657,0.0
845,ISIC_0010458,0.0
193,ISIC_0000220,0.0
1540,ISIC_0013597,0.0
725,ISIC_0010074,0.0
1388,ISIC_0013150,0.0
1355,ISIC_0013056,0.0
697,ISIC_0010025,0.0
1929,ISIC_0014830,0.0
1436,ISIC_0013268,0.0
780,ISIC_0010237,0.0
1681,ISIC_0014046,0.0
293,ISIC_0000351,0.0
1918,ISIC_0014804,0.0
1539,ISIC_0013596,0.0
558,ISIC_0008507,0.0
1258,ISIC_0012777,0.0
356,ISIC_0000442,0.0
658,ISIC_0009963,0.0
218,ISIC_0000251,0.0
1842,ISIC_0014609,0.0
1003,ISIC_0011292,0.0
283,ISIC_0000341,0.0
1978,ISIC_0015108,0.0
536,ISIC_0006800,0.0
119,ISIC_0000132,0.0
806,ISIC_0010333,0.0
662,ISIC_0009967,0.0
170,ISIC_0000193,0.0
1519,ISIC_0013526,0.0
1132,ISIC_0012334,0.0
