,image_id,cancer
20904,ISIC_6348638,1
774,ISIC_0337631,1
28175,ISIC_8527092,1
33050,ISIC_9978107,1
28028,ISIC_8483382,1
26230,ISIC_7961365,1
15732,ISIC_4810142,1
24780,ISIC_7520843,1
2143,ISIC_0744013,1
13596,ISIC_4170698,1
9640,ISIC_2987613,1
1809,ISIC_0645454,1
7959,ISIC_2481044,1
2886,ISIC_0961235,1
544,ISIC_0272509,1
17773,ISIC_5415761,1
23886,ISIC_7253401,1
3746,ISIC_1231419,1
15090,ISIC_4619903,1
24030,ISIC_7295035,1
27286,ISIC_8263489,1
23352,ISIC_7098141,1
15929,ISIC_4874581,1
12278,ISIC_3778192,1
22175,ISIC_6714082,1
24285,ISIC_7371801,1
20736,ISIC_6303107,1
11158,ISIC_3436033,1
25238,ISIC_7658729,1
11412,ISIC_3517311,1
399,ISIC_0232101,1
22902,ISIC_6961503,1
3351,ISIC_1113490,1
7395,ISIC_2311665,1
22172,ISIC_6713432,1
21729,ISIC_6581411,1
29935,ISIC_9053910,1
25869,ISIC_7844825,1
33117,ISIC_9998682,1
16482,ISIC_5044438,1
29382,ISIC_8882374,1
15188,ISIC_4649440,1
10353,ISIC_3207651,1
20474,ISIC_6228963,1
10924,ISIC_3372750,1
17806,ISIC_5425721,1
14439,ISIC_4425322,1
23996,ISIC_7287303,1
5667,ISIC_1797795,1
4071,ISIC_1330008,1
19325,ISIC_5867911,1
18975,ISIC_5758388,1
31016,ISIC_9367522,1
30487,ISIC_9210255,1
2709,ISIC_0911264,1
8732,ISIC_2720971,1
29417,ISIC_8892236,1
1435,ISIC_0533122,1
24202,ISIC_7346739,1
29349,ISIC_8872158,1
6876,ISIC_2153401,1
24025,ISIC_7293518,1
18264,ISIC_5561003,1
17246,ISIC_5267208,1
22090,ISIC_6688417,1
27050,ISIC_8194835,1
5946,ISIC_1881133,1
7495,ISIC_2341875,1
21890,ISIC_6625102,1
30817,ISIC_9312164,1
18417,ISIC_5602826,1
27102,ISIC_8207974,1
31713,ISIC_9583969,1
9606,ISIC_2979268,1
17506,ISIC_5343231,1
15455,ISIC_4730066,1
14168,ISIC_4346693,1
17677,ISIC_5391758,1
15200,ISIC_4653503,1
24601,ISIC_7466678,1
15278,ISIC_4676270,1
32557,ISIC_9828846,1
17662,ISIC_5388184,1
22386,ISIC_6784593,1
28467,ISIC_8617277,1
6206,ISIC_1956504,1
8623,ISIC_2685593,1
11549,ISIC_3561065,1
14225,ISIC_4362713,1
6197,ISIC_1952749,1
758,ISIC_0333091,1
27343,ISIC_8281208,1
18688,ISIC_5673518,1
28036,ISIC_8485716,1
18880,ISIC_5732201,1
3028,ISIC_1009042,1
4168,ISIC_1356715,1
10149,ISIC_3144222,1
580,ISIC_0280912,1
16292,ISIC_4980656,1
10482,ISIC_3241636,1
32400,ISIC_9785077,1
8559,ISIC_2668481,1
28446,ISIC_8609756,1
6628,ISIC_2077116,1
26872,ISIC_8145348,1
29768,ISIC_9001948,1
17596,ISIC_5365617,1
24135,ISIC_7327423,1
13910,ISIC_4266533,1
32969,ISIC_9955163,1
12892,ISIC_3969411,1
6179,ISIC_1948545,1
8800,ISIC_2739449,1
551,ISIC_0274382,1
21408,ISIC_6496370,1
9592,ISIC_2975580,1
5532,ISIC_1752943,1
16456,ISIC_5037784,1
12012,ISIC_3697702,1
10831,ISIC_3343475,1
11259,ISIC_3464344,1
26023,ISIC_7897925,1
10699,ISIC_3301933,1
23353,ISIC_7100755,1
30546,ISIC_9228573,1
30832,ISIC_9317483,1
25304,ISIC_7680948,1
30202,ISIC_9124447,1
5092,ISIC_1630301,1
26224,ISIC_7960321,1
24713,ISIC_7503950,1
30427,ISIC_9193127,1
3799,ISIC_1247683,1
32033,ISIC_9677503,1
27171,ISIC_8230318,1
558,ISIC_0275828,1
16622,ISIC_5086349,1
26069,ISIC_7914631,1
16828,ISIC_5147292,1
17608,ISIC_5369000,1
26226,ISIC_7960869,1
29794,ISIC_9012513,1
5374,ISIC_1706912,1
25452,ISIC_7724762,1
14362,ISIC_4398011,1
7424,ISIC_2320481,1
32062,ISIC_9685931,1
28118,ISIC_8509577,1
22471,ISIC_6809586,1
3384,ISIC_1124434,1
1332,ISIC_0502582,1
20668,ISIC_6285925,1
12424,ISIC_3824206,1
2856,ISIC_0953317,1
9691,ISIC_3002956,1
25525,ISIC_7748311,1
19839,ISIC_6024335,1
10527,ISIC_3253484,1
10993,ISIC_3391427,1
10774,ISIC_3319229,1
11156,ISIC_3435596,1
25706,ISIC_7800750,1
2722,ISIC_0914168,1
32701,ISIC_9870885,1
17185,ISIC_5247508,1
12709,ISIC_3915890,1
31105,ISIC_9402324,1
10198,ISIC_3159924,1
6221,ISIC_1959939,1
25343,ISIC_7693611,1
23648,ISIC_7181296,1
11199,ISIC_3446357,1
13418,ISIC_4120174,1
29884,ISIC_9038318,1
12922,ISIC_3976496,1
6877,ISIC_2153686,1
13782,ISIC_4230049,1
21642,ISIC_6561111,1
22108,ISIC_6695831,1
4876,ISIC_1566428,1
4272,ISIC_1388552,1
27436,ISIC_8306697,1
17077,ISIC_5216586,1
32519,ISIC_9821002,1
6252,ISIC_1968421,1
15088,ISIC_4619789,1
6606,ISIC_2071966,1
27245,ISIC_8249854,1
4567,ISIC_1473522,1
16895,ISIC_5166798,1
23295,ISIC_7079349,1
11048,ISIC_3408231,1
8870,ISIC_2757355,1
4296,ISIC_1393771,1
4959,ISIC_1589997,1
16214,ISIC_4960784,1
16900,ISIC_5167209,1
9173,ISIC_2844539,1
14982,ISIC_4584265,1
28735,ISIC_8692218,1
10640,ISIC_3286186,1
7256,ISIC_2272218,1
27177,ISIC_8231999,1
8139,ISIC_2535541,1
19934,ISIC_6056121,1
4362,ISIC_1412843,1
17404,ISIC_5315062,1
14289,ISIC_4377208,1
546,ISIC_0273046,1
8227,ISIC_2565206,1
20039,ISIC_6089318,1
8972,ISIC_2787702,1
9984,ISIC_3097354,1
29764,ISIC_9000824,1
14767,ISIC_4523382,1
16797,ISIC_5137933,1
1568,ISIC_0572205,1
3501,ISIC_1159891,1
1335,ISIC_0504165,1
31745,ISIC_9593940,1
12133,ISIC_3733653,1
9103,ISIC_2822718,1
18672,ISIC_5667461,1
5045,ISIC_1616031,1
28876,ISIC_8737794,1
1742,ISIC_0624498,1
29231,ISIC_8838753,1
21464,ISIC_6512653,1
7816,ISIC_2437633,1
31809,ISIC_9612481,1
2485,ISIC_0844312,1
3340,ISIC_1110583,1
8453,ISIC_2637608,1
16407,ISIC_5021861,1
7389,ISIC_2309744,1
3515,ISIC_1162337,1
9330,ISIC_2895555,1
32674,ISIC_9863642,1
18324,ISIC_5576354,1
30369,ISIC_9174306,1
23468,ISIC_7130929,1
16139,ISIC_4938994,1
1654,ISIC_0599605,1
27924,ISIC_8450656,1
23770,ISIC_7218890,1
19814,ISIC_6017985,1
27808,ISIC_8417873,1
2852,ISIC_0952472,1
25249,ISIC_7662910,1
31696,ISIC_9579703,1
21050,ISIC_6392461,1
8366,ISIC_2609984,1
28231,ISIC_8545949,1
22392,ISIC_6785680,1
24667,ISIC_7489564,1
7144,ISIC_2232442,1
2962,ISIC_0986600,1
25661,ISIC_7785723,1
22582,ISIC_6851408,1
29914,ISIC_9048507,1
4234,ISIC_1375476,1
8363,ISIC_2607827,1
14389,ISIC_4408559,1
29591,ISIC_8951909,1
12415,ISIC_3821242,1
19108,ISIC_5797062,1
23927,ISIC_7265673,1
21737,ISIC_6584579,1
16243,ISIC_4967586,1
4608,ISIC_1484659,1
24853,ISIC_7546219,1
28478,ISIC_8621568,1
7081,ISIC_2212473,1
23280,ISIC_7074321,1
