,image1_title,image1_label,image1_url,image2_title,image2_label,image2_url,image3_title,image3_label,image3_url
0,ISIC_0013490,1,https://github.com/vcheplygina/crowdsim/blob/main/Extra/Data/batch/ISIC_0013490.jpg?raw=true,ISIC_5366635,0,https://github.com/vcheplygina/crowdsim/blob/main/Extra/Data/batch/ISIC_5366635.jpg?raw=true,ISIC_4329544,0,https://github.com/vcheplygina/crowdsim/blob/main/Extra/Data/batch/ISIC_4329544.jpg?raw=true
1,ISIC_0010025,0,https://github.com/vcheplygina/crowdsim/blob/main/Extra/Data/batch/ISIC_0010025.jpg?raw=true,ISIC_3542273,0,https://github.com/vcheplygina/crowdsim/blob/main/Extra/Data/batch/ISIC_3542273.jpg?raw=true,ISIC_8609756,1,https://github.com/vcheplygina/crowdsim/blob/main/Extra/Data/batch/ISIC_8609756.jpg?raw=true
2,ISIC_0013567,1,https://github.com/vcheplygina/crowdsim/blob/main/Extra/Data/batch/ISIC_0013567.jpg?raw=true,ISIC_9579703,1,https://github.com/vcheplygina/crowdsim/blob/main/Extra/Data/batch/ISIC_9579703.jpg?raw=true,ISIC_4508878,1,https://github.com/vcheplygina/crowdsim/blob/main/Extra/Data/batch/ISIC_4508878.jpg?raw=true
3,ISIC_0011230,0,https://github.com/vcheplygina/crowdsim/blob/main/Extra/Data/batch/ISIC_0011230.jpg?raw=true,ISIC_7035246,1,https://github.com/vcheplygina/crowdsim/blob/main/Extra/Data/batch/ISIC_7035246.jpg?raw=true,ISIC_6613150,1,https://github.com/vcheplygina/crowdsim/blob/main/Extra/Data/batch/ISIC_6613150.jpg?raw=true
4,ISIC_0009919,0,https://github.com/vcheplygina/crowdsim/blob/main/Extra/Data/batch/ISIC_0009919.jpg?raw=true,ISIC_3738751,1,https://github.com/vcheplygina/crowdsim/blob/main/Extra/Data/batch/ISIC_3738751.jpg?raw=true,ISIC_8806647,0,https://github.com/vcheplygina/crowdsim/blob/main/Extra/Data/batch/ISIC_8806647.jpg?raw=true
5,ISIC_0010015,0,https://github.com/vcheplygina/crowdsim/blob/main/Extra/Data/batch/ISIC_0010015.jpg?raw=true,ISIC_1109641,0,https://github.com/vcheplygina/crowdsim/blob/main/Extra/Data/batch/ISIC_1109641.jpg?raw=true,ISIC_4946006,0,https://github.com/vcheplygina/crowdsim/blob/main/Extra/Data/batch/ISIC_4946006.jpg?raw=true
6,ISIC_0013685,0,https://github.com/vcheplygina/crowdsim/blob/main/Extra/Data/batch/ISIC_0013685.jpg?raw=true,ISIC_9472515,0,https://github.com/vcheplygina/crowdsim/blob/main/Extra/Data/batch/ISIC_9472515.jpg?raw=true,ISIC_7730937,1,https://github.com/vcheplygina/crowdsim/blob/main/Extra/Data/batch/ISIC_7730937.jpg?raw=true
7,ISIC_0000409,0,https://github.com/vcheplygina/crowdsim/blob/main/Extra/Data/batch/ISIC_0000409.jpg?raw=true,ISIC_5332605,0,https://github.com/vcheplygina/crowdsim/blob/main/Extra/Data/batch/ISIC_5332605.jpg?raw=true,ISIC_5272223,1,https://github.com/vcheplygina/crowdsim/blob/main/Extra/Data/batch/ISIC_5272223.jpg?raw=true
8,ISIC_0000300,1,https://github.com/vcheplygina/crowdsim/blob/main/Extra/Data/batch/ISIC_0000300.jpg?raw=true,ISIC_5581297,1,https://github.com/vcheplygina/crowdsim/blob/main/Extra/Data/batch/ISIC_5581297.jpg?raw=true,ISIC_9152137,0,https://github.com/vcheplygina/crowdsim/blob/main/Extra/Data/batch/ISIC_9152137.jpg?raw=true
9,ISIC_0013815,1,https://github.com/vcheplygina/crowdsim/blob/main/Extra/Data/batch/ISIC_0013815.jpg?raw=true,ISIC_0632512,0,https://github.com/vcheplygina/crowdsim/blob/main/Extra/Data/batch/ISIC_0632512.jpg?raw=true,ISIC_1404148,0,https://github.com/vcheplygina/crowdsim/blob/main/Extra/Data/batch/ISIC_1404148.jpg?raw=true
