,WorkerId,SubmitTime,WorkTimeInSeconds,LifetimeApprovalRate,anchor_id,anchor_label,image2,Input.image2_label,image3,Input.image3_label,answer,howMuch,Oracle_answer,Oracle_howMuch,Correct,WrongNo,ImpossibleNo
0,A173XBIUVI8WAW,Mon Nov 22 03:53:56 PST 2021,99.0,100% (2/2),ISIC_0000498,0.0,ISIC_6971606,1.0,ISIC_2393986,0.0,A,confident,B,very confident,Wrong,1.0,0.0
6,A1F1QHAACQSB9E,Mon Nov 22 03:53:55 PST 2021,73.0,0% (0/0),ISIC_0014366,1.0,ISIC_4652753,0.0,ISIC_7612992,1.0,A,confident,B,very confident,Wrong,1.0,0.0
16,A2RINH8P33GL6H,Mon Nov 22 05:21:58 PST 2021,60.0,0% (0/0),ISIC_0002647,0.0,ISIC_1199843,0.0,ISIC_5891384,1.0,B,confident,A,very confident,Wrong,1.0,0.0
26,A3HKZTDVORNEZ,Mon Nov 22 03:56:30 PST 2021,84.0,0% (0/0),ISIC_0013056,0.0,ISIC_9609907,0.0,ISIC_7960321,1.0,A,confident,A,very confident,Correct,0.0,1.0
27,A3J9WEQVUIML4P,Mon Nov 22 03:54:58 PST 2021,127.0,0% (0/0),ISIC_0015045,1.0,ISIC_6271913,0.0,ISIC_5267208,1.0,A,neutral,B,very confident,Wrong,1.0,0.0
28,A3OZ8KF0HWSVWK,Mon Nov 22 03:55:30 PST 2021,161.0,0% (0/0),ISIC_0013572,1.0,ISIC_4358017,0.0,ISIC_7188345,0.0,A,confident,B,very uncertain,Impossible_triplet,0.0,1.0
29,A3PBA2ZHVZFGA3,Mon Nov 22 03:54:01 PST 2021,79.0,0% (0/0),ISIC_0013181,0.0,ISIC_3427736,0.0,ISIC_1952599,0.0,A,confident,A,very confident,Correct,0.0,1.0
33,A4JKUHL6IT5FZ,Mon Nov 22 03:56:13 PST 2021,195.0,0% (0/0),ISIC_0000351,0.0,ISIC_8145348,1.0,ISIC_7844825,1.0,B,confident,B,very uncertain,Impossible_triplet,0.0,1.0
36,ALS4ARR5D4BEC,Mon Nov 22 03:55:45 PST 2021,166.0,0% (0/0),ISIC_0002975,0.0,ISIC_4842587,1.0,ISIC_7641395,0.0,B,neutral,B,very confident,Correct,0.0,1.0
42,AZ0F8SS8884VC,Mon Nov 22 03:54:23 PST 2021,117.0,100% (1/1),ISIC_0013398,0.0,ISIC_2757355,1.0,ISIC_3391427,1.0,B,confident,B,very uncertain,Impossible_triplet,0.0,1.0
43,AZ0KS5UTO3EJ2,Mon Nov 22 03:54:45 PST 2021,123.0,0% (0/0),ISIC_0000307,1.0,ISIC_2783331,0.0,ISIC_3144222,1.0,B,confident,B,very confident,Correct,0.0,1.0
0,ATKLWAX72HM7A,Mon Nov 22 03:53:21 PST 2021,34.0,100% (8/8),ISIC_0000519,1.0,ISIC_7897925,1.0,ISIC_1068686,1.0,B,neutral,A,very confident,Correct,0.0,1.0
1,A1TW2BZRRS874Z,Mon Nov 22 03:53:22 PST 2021,52.0,100% (11/11),ISIC_0011163,1.0,ISIC_7095398,0.0,ISIC_9480417,0.0,B,confident,B,very uncertain,Impossible_triplet,0.0,1.0
2,ATKLWAX72HM7A,Mon Nov 22 03:53:31 PST 2021,42.0,100% (8/8),ISIC_0000127,0.0,ISIC_3002956,1.0,ISIC_2598044,0.0,B,confident,B,very confident,Correct,0.0,1.0
3,A1TW2BZRRS874Z,Mon Nov 22 03:53:32 PST 2021,61.0,100% (11/11),ISIC_0014185,0.0,ISIC_2700320,1.0,ISIC_9940466,0.0,B,confident,B,very confident,Correct,0.0,1.0
5,A2H1RXUC8XNNIW,Mon Nov 22 03:53:37 PST 2021,60.0,0% (0/0),ISIC_0000081,0.0,ISIC_3065032,1.0,ISIC_7748311,1.0,A,neutral,B,very uncertain,Impossible_triplet,0.0,1.0
6,A3FCM5JHF95XCT,Mon Nov 22 03:53:39 PST 2021,58.0,100% (1/1),ISIC_0001126,1.0,ISIC_4163686,1.0,ISIC_1554893,0.0,A,neutral,A,very confident,Correct,0.0,1.0
7,A1TW2BZRRS874Z,Mon Nov 22 03:53:41 PST 2021,69.0,100% (11/11),ISIC_0014324,1.0,ISIC_4874581,1.0,ISIC_2155898,0.0,A,neutral,A,very confident,Correct,0.0,1.0
8,ATKLWAX72HM7A,Mon Nov 22 03:53:42 PST 2021,50.0,100% (8/8),ISIC_0010317,0.0,ISIC_5768602,0.0,ISIC_5747709,0.0,A,confident,A,very confident,Correct,0.0,1.0
9,AZ1CPF2NHT5QO,Mon Nov 22 03:53:43 PST 2021,46.0,0% (0/0),ISIC_0010241,1.0,ISIC_2979268,1.0,ISIC_0751846,0.0,B,confident,A,very confident,Wrong,1.0,0.0
13,AZ1CPF2NHT5QO,Mon Nov 22 03:53:50 PST 2021,52.0,0% (0/0),ISIC_0000292,1.0,ISIC_5765854,0.0,ISIC_8462445,0.0,A,confident,B,very uncertain,Impossible_triplet,0.0,1.0
16,A2H1RXUC8XNNIW,Mon Nov 22 03:53:57 PST 2021,74.0,0% (0/0),ISIC_0000127,0.0,ISIC_3002956,1.0,ISIC_2598044,0.0,B,confident,B,very confident,Correct,0.0,1.0
17,ATKLWAX72HM7A,Mon Nov 22 03:53:58 PST 2021,60.0,100% (8/8),ISIC_0009950,1.0,ISIC_7520843,1.0,ISIC_6526489,1.0,A,confident,A,very confident,Correct,0.0,1.0
19,A1TW2BZRRS874Z,Mon Nov 22 03:54:08 PST 2021,93.0,100% (11/11),ISIC_0004110,0.0,ISIC_2437633,1.0,ISIC_3446357,1.0,B,confident,B,very uncertain,Impossible_triplet,0.0,1.0
20,A3PBA2ZHVZFGA3,Mon Nov 22 03:54:08 PST 2021,75.0,0% (0/0),ISIC_0015045,1.0,ISIC_6271913,0.0,ISIC_5267208,1.0,B,confident,B,very confident,Correct,0.0,1.0
21,A2H1RXUC8XNNIW,Mon Nov 22 03:54:09 PST 2021,84.0,0% (0/0),ISIC_0000003,0.0,ISIC_5434661,1.0,ISIC_9286292,1.0,A,confident,B,very uncertain,Impossible_triplet,0.0,1.0
22,ATKLWAX72HM7A,Mon Nov 22 03:54:11 PST 2021,70.0,100% (8/8),ISIC_0015189,1.0,ISIC_4560763,0.0,ISIC_4176366,0.0,A,neutral,B,very uncertain,Impossible_triplet,0.0,1.0
23,A1F1QHAACQSB9E,Mon Nov 22 03:54:18 PST 2021,92.0,0% (0/0),ISIC_0010317,0.0,ISIC_2606720,0.0,ISIC_3957034,0.0,A,confident,A,very confident,Correct,0.0,1.0
24,A1TW2BZRRS874Z,Mon Nov 22 03:54:18 PST 2021,102.0,100% (11/11),ISIC_0001119,1.0,ISIC_9332454,0.0,ISIC_3072343,0.0,A,confident,B,very uncertain,Impossible_triplet,0.0,1.0
